[0.212s] Invoking command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/tparu001k/turtlebot3_ws/build/turtlebot3_description -- -j8 -l8
[2.905s] Invoked command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --build /home/tparu001k/turtlebot3_ws/build/turtlebot3_description -- -j8 -l8
[3.120s] Invoking command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --install /home/tparu001k/turtlebot3_ws/build/turtlebot3_description
[3.196s] -- Install configuration: ""
[3.281s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl
[3.286s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/rviz/model.rviz
[3.337s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/common_properties.urdf
[3.341s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_burger.urdf
[3.353s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle.urdf
[3.353s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle_pi.urdf
[3.354s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/package_run_dependencies/turtlebot3_description
[3.354s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/parent_prefix_path/turtlebot3_description
[3.392s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.sh
[3.392s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.dsv
[3.441s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.sh
[3.441s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.dsv
[3.454s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.bash
[3.454s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.sh
[3.455s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.zsh
[3.455s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.dsv
[3.455s] -- Symlinking: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.dsv
[3.466s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/packages/turtlebot3_description
[3.468s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig.cmake
[3.474s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig-version.cmake
[3.475s] -- Up-to-date symlink: /home/tparu001k/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.xml
[3.639s] Invoked command in '/home/tparu001k/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/tparu001k/turtlebot3_ws/install/turtlebot3_teleop:/home/tparu001k/turtlebot3_ws/install/turtlebot3_example:/home/tparu001k/metr4202_ws/install/m4202_py_pkg:/opt/ros/humble /usr/bin/cmake --install /home/tparu001k/turtlebot3_ws/build/turtlebot3_description
